"Timestamp","Team Name","Average Team Education & Experience","Project Name","Brief Project Description","3rd Party Libraries & Assets","Link to view project code","Upload Video Demo (Preferred)","Link to Video (if you have problems with video upload)"
"2023/03/25 2:34:33 PM CST","GestureGraffix","2 - 3 Years","Touchless signing","A piece of software used to sign digital documents or draw without touching a screen, mouse, or pen.","Godot, Mediapipe, Python-Script","https://github.com/ThomasBestvina/USUHack","https://drive.google.com/u/1/open?usp=forms_web&id=1ZSTK7m1jRwEapwZmgS9t3Xdn9Kcft2uw","https://www.youtube.com/watch?v=kZVxR_iyhzg&ab_channel=AlexHernandez"
"2023/03/25 2:41:36 PM CST","What ever you name it.","2 - 3 Years","Web Directed Remote Buggie","We created a simple car simulation using Unreal Engine. We then created a server that takes inputs from a python script and sends them over the web to the simulation to control the car remotely. This system can now allow machine learning models to control virtual robots to learn in virtual environments.","Unreal Engine 5, Blender, Python Server","https://drive.google.com/file/d/1vIhO7XvmPNfh-ndSV7AbZkxoFW3MNVFv/view?usp=sharing",,"https://drive.google.com/file/d/1q0RW7CTRC2MKC5_x1EElRc367wMbEgNU/view?usp=sharing"
"2023/03/25 2:46:39 PM CST","Lost and Confused","2 - 3 Years","Scrappy Scrumptious","Scrappy Scrumptious allows you to easily find recipes that you can create with what you have in your fridge. You can select ingredients and the web app will recommend you recipes with the given ingredients. It quickly identifies optimal recipes and displays the ingredients you have and don't have for each recipe. Recipes and ingredient data is scraped from budgetbytes.com and sanitized for the app.","I used budgetbytes.com for recipe data, ingredientparserjs for data sanitization, jsdom for web scraping, and fs for local data storage.","https://github.com/ewu32/HackUSU2023","https://drive.google.com/u/1/open?usp=forms_web&id=1ozSaKGT0EZf4TSY_nMaZF10b-m6AAH3K",
"2023/03/25 3:14:11 PM CST","InstaFetchers","1 - 2 Years","InstaFetch","Many people find it difficult to delete instagram entirely because there are certain pages/people they want to stay informed about.  We created an instagram web server client that sends you an email with the posts of pages you specify that you want to be informed about. This helps eliminate the need to have an instagram account on your phone.","Django, AWS, instaloader API, yagmail API","https://github.com/hamnerben/InstaFetch","https://drive.google.com/u/1/open?usp=forms_web&id=1GKlHMUK1OIoBQ_wMKR1dK2xeD_iirtqM","If the video didn't work this is the link : https://www.loom.com/share/1e3852e6276c487080cd313a54e75d7a Also we didn't add our thoughts about what we learned in the video but we learned a ton! firstly we learned a lot about API's and the pitfalls of using an api that a large coporation deploys. Also we learned a lot about the importance of security. Over the 24 hour period our burner email accounts got hacked twice (don't worry we fixed it) we didn't seriously understand how easy it was for a git repo bot to skim our project and find a password hardcoded in our code. We have since fixed that though and now understand the importance of cybersecurity  "
"2023/03/25 3:20:22 PM CST","Local Party","1 - 2 Years","Local Party","Receive food or activity recommendations for places local to you!
Utilizing a randomized list connected to a Google Cloud Console Map API to display directions and a link to open in more details! Detailed search option also Available for suggestions in places other than your local area.","Google Cloud Console Map API","https://github.com/keatonflake/LocalParty","https://drive.google.com/u/1/open?usp=forms_web&id=1Y_wTHTQXczY2Gn-ZYS-1ng0lq_snd0r7",
"2023/03/25 3:28:42 PM CST","The superintendent of movement","1 - 2 Years","Ballet movement generator","A program that generates coherent sequences of ballet movements","None :)","On a private github server. Can expose if needed.","https://drive.google.com/u/1/open?usp=forms_web&id=1XQFC1-0ROBv2kg4ukKIrZ9xbTGVhBnIX",
"2023/03/25 3:32:21 PM CST","TohDoh","2 - 3 Years","TohDoh","TohDoh: “Pick up grandma” Scheduling web app
To-do apps have been a hot topic especially within the programming classes at USU. Well now you never need to worry about forgetting to pick up grandma because our team has created a to-do app that will end all to-do apps – TohDoh! 
On the TohDoh web app you can enter your work or class schedule to auto fill into your calendar. Then you can put the various tasks you need to do for work, school, and life with an estimation of how long each will take. TohDoh will then auto-schedule these different tasks as availability permits in your schedule. Your generated schedule can then be imported into any calendar with an .ics file that TohDoh can download to your computer. 
","React (Ts), Express, Prisma, mui, generate-ical","github.com/WesleyEdwards/tohdoh","https://drive.google.com/u/1/open?usp=forms_web&id=1eNfafNn6g6ua_Ea_WNCtbNGLmmuOoB9-","https://drive.google.com/file/d/1qt7aJZEn8vFwmpQh3aLvzNf5RznClIba/view?usp=sharing_eil_se_dm&ts=641f6574"
"2023/03/25 3:45:03 PM CST","EaseHeal","2 - 3 Years","EaseHeal","""Coping with loss can be a daily challenge, and many people struggle to find ways to honor and remember their loved ones. Our web application is designed to provide personalized support and companionship for those experiencing loss. Through our platform, users can celebrate the lives of their loved ones and express their feelings in a way that feels authentic and meaningful to them. Our aim is to offer a space of comfort and healing for individuals who are navigating this difficult journey.""","We used React and Node.js. MUI, Firebase databases, Figma, Canva, and iMovie","https://github.com/ooioiooGT/hack.git    ",,"https://youtu.be/M0X22t1P1bE"
"2023/03/25 3:45:03 PM CST","AggieCanvas","2 - 3 Years","AggieCanvas","A live pixel by pixel community art project","NextJs, Prisma, Postgresql","https://github.com/pharrison31415/aggiecanvas","https://drive.google.com/u/1/open?usp=forms_web&id=1mipz_8GirJbmRxrFqEF2L9ngFQk5NKx7",
"2023/03/25 3:46:52 PM CST","Kafka-Chat-App","2 - 3 Years","Kafka Chat App","A chat app implemented with Kafka and ElasticSearch on the backend","Kafka, ElasticSearch, Docker, React, Endpoints, Kibana","https://github.com/NathanHuntzinger/Kafka-Chat-App","https://drive.google.com/u/1/open?usp=forms_web&id=1EJ9NfyN620dSz-qo9DyoYCa9BHjiyj9D","https://share.cleanshot.com/457rz7sk"
