"Timestamp","Team Name","Average Team Education & Experience","Project Name","Brief Project Description","3rd Party Libraries & Assets","Link to view project code","Upload Video Demo (Preferred)","Link to Video (if you have problems with video upload)"
"2023/03/25 2:49:56 PM CST","MINDful Hand","1 - 2 Years","MINDful Hand","This project involves creating a mechanical hand using recycled materials that can be controlled by the user's thoughts using brain control technology. The hand is controlled using machine learning algorithms based on data acquired from the user's brain signals. The project uses Python and scikit-learn for machine learning, the Lab Streaming Layer for data acquisition, and an Arduino for hardware control. Pyserial is used to send commands from the Python code to the Arduino to control the movement of the hand. The project aims to promote sustainability by using recycled materials and cutting-edge technology to create a more innovative and sustainable future.","ScikitLearn/sklearn, Pyserial, Muse2, pyLSL, BlueMuse, Lab Recorder, numpy, matplotlib, Stepper.h, BCI_Workshop","https://github.com/AlexBerryhill/MINDful-Hand","https://drive.google.com/u/1/open?usp=forms_web&id=1tys-Eq0Ul1Rv0Oboey_nwtMVoASc8zKw",
"2023/03/25 2:50:51 PM CST","Caleb","4+ Years","Light Switch Alarm","An alarm that will turn on a light at the specified time. Light can be toggled with sound or switch. Display shows time. A keypad is connected, and will eventually be used to navigate a menu on the display. Light is currently an LED, but can quickly be switched out with a relay to turn on and off a household light.","-MSP432 driverlibs
-Many of the GLCD functions, but some were my own.
-A lot of code snippets from all over the internet, this was more of a project to learn how to program an MSP432.","https://github.com/KoAhauCaleb/light_alarm_drv_lib","https://drive.google.com/u/1/open?usp=forms_web&id=1_iqNW6ZSwPyo3jod2ZAdOw2vycCR0qws",
"2023/03/25 3:10:33 PM CST","Maelstrom of Bits","4+ Years","Digital Oscilloscope and Beyond","I built a tools that visualizes and synthesizes sound in multiple dimensions. Using a guitar, I generate electric current which I can then sample through my audio interface hardware to convert it into a digital format. This digital format can be used for many things - from training a generative AI model to quantum resistant encryption.","The application I built uses React as the front-end framework and Vite as the build tool."," Github Repo: https://github.com/dittonjs/usu-hackathon-oscilloscope","https://drive.google.com/u/1/open?usp=forms_web&id=1TmKuZhDcsc7g1DgcBEvxVG3WAD6wPzND",
"2023/03/25 3:47:24 PM CST","PlantOR","2 - 3 Years","PlantOR","An automatic home plant organizer which automagically detects the moisture levels in the soil and waters the plant according to its specific needs. This also controls UV lights which feeds your plant according to its needs. This is all controllable from a convenient app where you can customize your water schedule. Feel free to travel without worrying about your plants dying.","Arduino BlueControl
SoftwareSerial.h","https://GitHub.com/Benjameads/PlantOR","https://drive.google.com/u/1/open?usp=forms_web&id=1aM-z94RmjiAWTBPF74yXBX8Jde_PMJLh",
"2023/03/25 3:53:29 PM CST","Sneeke","A year or less","Sneeke","Snake game that has a randomized maze instead of blank canvas ","We used pygame to build our game.","GitHub.com/SecretDwarf/sneeke","https://drive.google.com/u/1/open?usp=forms_web&id=1XrHeHAaqrexk2mYytmmpvNWGa1vvBBtV",
"2023/03/25 3:56:01 PM CST","Geo-Juicers","2 - 3 Years","Geo-Juicers State Map","We created an LED matrix of the United States of America.


This involved disabling over 20 feet of CAT 6 cable for wire, soldering over 120 connections, and using a ton of hot glue and electrical tape.


Having no dedicated multiplexer chips meant that we had to squeeze every bit of performance out of our 8-bit microcontroller in order to drive the 5 by 10 matrix at different brightness levels.

A web app and a rust backend makes it easy to play historical data animations on the map. ","Rust https, study serializer, rust tokio , react.js","https://github.com/geo-juicers",,"https://drive.google.com/file/d/1vPhjNz_AF1dvpMmovAalhewSnDFsTdvw/view?usp=drivesdk"
"2023/03/25 3:57:14 PM CST","Zen Garden","4+ Years","Zen Garden","We 3D modeled, printed, and developed software to drive mini tractors to rake the sand in a Zen Garden. The brains of the tractors are ESP32 microcontrollers. The ESP32 controls 2 stepper motors using tank controls to propel, and steer the tractor forward. The esp32 also hosts a wi-fi network. If connected to the tractor wi-fi, an internet browser navigated to 192.168.4.1 a joystick will be displayed. The joystick can then control the tractor, allowing one to get their Zen on and feel relaxed and rested.","Free RTOS, esp async web server, stepper motor, wifi libraries, arduino IDE, chat GPT, fast LED, visual studio code, fusion 360, ultimaker cura","https://github.com/daniel-morty/hackusu2023",,"https://www.youtube.com/watch?v=R83iP5Q-EOI"
"2023/03/25 4:01:35 PM CST","OffByOne","1 - 2 Years","Simple Processor","A simple 8 bit processor designed on an FPGA board in Verilog.","I followed some tutorials for the basic processor concepts but all code was written by me.","Github.com/GavinKnudsen/HackUSU","https://drive.google.com/u/1/open?usp=forms_web&id=12rVz9IG_wD65IX8K1bkERcn1Rqs6mB1_",
"2023/03/25 4:07:54 PM CST","Treadmill Sniffers","2 - 3 Years","MileMan Speed Automation","Automating the speed selection of a treadmill using Twitch API to subscription events to increase speed for a specified time using an IR transmitter. The IR transmitter was built using an arduino board after sniffing and decoding the remote's packages.","3rd Party Libraries
IRLibAll.h (arduino)
Flask (Python)
Python-http-server","https://github.com/skittlebearz/mm-stat-track","https://drive.google.com/u/1/open?usp=forms_web&id=1m5ekz6hghhnuMlzmFL8qv32ic7ef9Ihf",
"2023/03/25 4:08:03 PM CST","Andy","2 - 3 Years","Rockband Remote","Its a rock band drum that controls your Spotify via a spotify command line client instead of the spotify API","I imported evdev, os, and dbus aswell as using spt-tui which is the spotify CLI.","www.boardingandskiing.com/drumcode.zip","https://drive.google.com/u/1/open?usp=forms_web&id=1l3VDyOjMLr1n2iZ6J2DBDriX_pYYDjo4","sorry the upload took forever"
